TS,RN,Volts,mV,mV,mV,,
2023-09-23 00:00:00,188903,11.91,-0.003,-2561,-2860,,
2023-09-23 00:01:00,188904,11.89,-0.003,-2560,-2859,,
2023-09-23 00:02:00,188905,11.34,-0.003,-2561,-2859,,
2023-09-23 00:03:00,188906,11.77,-0.003,-2561,-2859,,
2023-09-23 00:04:00,188907,11.9,-0.003,-2560,-2859,,
2023-09-23 00:05:00,188908,11.9,-0.003,-2560,-2859,,
2023-09-23 00:06:00,188909,11.47,-0.004,-2560,-2859,,
2023-09-23 00:07:00,188910,11.89,-0.003,-2560,-2858,,
2023-09-23 00:08:00,188911,11.89,-0.004,-2559,-2858,,
2023-09-23 00:09:00,188912,11.71,-0.004,-2559,-2857,,
2023-09-23 00:10:00,188913,11.85,-0.003,-2560,-2858,,
2023-09-23 00:11:00,188914,11.91,-0.002,-2561,-2859,,
2023-09-23 00:12:00,188915,11.91,-0.002,-2561,-2860,,
2023-09-23 00:13:00,188916,11.5,-0.002,-2560,-2859,,
2023-09-23 00:14:00,188917,11.89,-0.001,-2560,-2859,,
2023-09-23 00:15:00,188918,11.9,-0.001,-2560,-2858,,
2023-09-23 00:16:00,188919,11.56,-0.001,-2560,-2859,,
2023-09-23 00:17:00,188920,11.52,-0.001,-2560,-2859,,
2023-09-23 00:18:00,188921,11.9,-0.002,-2560,-2859,,
2023-09-23 00:19:00,188922,11.88,-0.002,-2560,-2859,,
2023-09-23 00:20:00,188923,11.61,-0.002,-2559,-2858,,
2023-09-23 00:21:00,188924,11.91,-0.002,-2559,-2858,,
2023-09-23 00:22:00,188925,11.9,-0.003,-2559,-2858,,
2023-09-23 00:23:00,188926,11.82,-0.003,-2560,-2858,,
2023-09-23 00:24:00,188927,10.66,-0.003,-2560,-2859,,
2023-09-23 00:25:00,188928,11.34,-0.003,-2560,-2859,,
2023-09-23 00:26:00,188929,11.91,-0.003,-2560,-2859,,
2023-09-23 00:27:00,188930,11.9,-0.003,-2560,-2859,,
2023-09-23 00:28:00,188931,11.91,-0.003,-2560,-2859,,
2023-09-23 00:29:00,188932,11.67,-0.003,-2560,-2859,,
2023-09-23 00:30:00,188933,11.9,-0.003,-2559,-2858,,
2023-09-23 00:31:00,188934,11.89,-0.003,-2559,-2857,,
2023-09-23 00:32:00,188935,11.77,-0.003,-2559,-2857,,
2023-09-23 00:33:00,188936,11.79,-0.003,-2559,-2857,,
2023-09-23 00:34:00,188937,11.91,-0.003,-2560,-2858,,
2023-09-23 00:35:00,188938,11.91,-0.002,-2560,-2859,,
2023-09-23 00:36:00,188939,11.65,-0.002,-2560,-2859,,
2023-09-23 00:37:00,188940,11.91,-0.002,-2561,-2859,,
2023-09-23 00:38:00,188941,11.9,-0.002,-2561,-2860,,
2023-09-23 00:39:00,188942,11.75,-0.002,-2561,-2860,,
2023-09-23 00:40:00,188943,11.34,-0.003,-2560,-2859,,
2023-09-23 00:41:00,188944,11.9,-0.003,-2560,-2858,,
2023-09-23 00:42:00,188945,11.89,-0.002,-2560,-2859,,
2023-09-23 00:43:00,188946,11.54,-0.003,-2560,-2858,,
2023-09-23 00:44:00,188947,11.88,-0.003,-2559,-2858,,
2023-09-23 00:45:00,188948,11.9,-0.003,-2560,-2858,,
2023-09-23 00:46:00,188949,11.88,-0.003,-2561,-2859,,
2023-09-23 00:47:00,188950,11.56,-0.003,-2560,-2859,,
2023-09-23 00:48:00,188951,11.89,-0.003,-2560,-2858,,
2023-09-23 00:49:00,188952,11.89,-0.003,-2559,-2857,,
2023-09-23 00:50:00,188953,11.2,-0.002,-2559,-2857,,
2023-09-23 00:51:00,188954,11.87,-0.003,-2559,-2857,,
2023-09-23 00:52:00,188955,11.9,-0.003,-2559,-2857,,
2023-09-23 00:53:00,188956,11.88,-0.003,-2559,-2857,,
2023-09-23 00:54:00,188957,11.82,-0.003,-2559,-2858,,
2023-09-23 00:55:00,188958,11.9,-0.003,-2559,-2858,,
2023-09-23 00:56:00,188959,11.89,-0.003,-2559,-2857,,
2023-09-23 00:57:00,188960,11.65,-0.003,-2559,-2856,,
2023-09-23 00:58:00,188961,11.9,-0.003,-2560,-2857,,
2023-09-23 00:59:00,188962,11.9,-0.003,-2560,-2857,,
2023-09-23 01:00:00,188963,11.91,-0.003,-2559,-2858,,
2023-09-23 01:01:00,188964,11.62,-0.003,-2559,-2857,,
2023-09-23 01:02:00,188965,11.88,-0.003,-2559,-2857,,
2023-09-23 01:03:00,188966,11.89,-0.003,-2559,-2856,,
2023-09-23 01:04:00,188967,11.71,-0.003,-2558,-2856,,
2023-09-23 01:05:00,188968,11.89,-0.004,-2558,-2855,,
2023-09-23 01:06:00,188969,11.9,-0.004,-2559,-2856,,
2023-09-23 01:07:00,188970,11.9,-0.004,-2559,-2857,,
