"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
2023-09-24 01:27:00,190430,11.89,-0.007,-2556,-2859,,
2023-09-24 01:28:00,190431,11.5,-0.007,-2557,-2859,,
2023-09-24 01:29:00,190432,11.6,-0.007,-2557,-2859,,
2023-09-24 01:30:00,190433,11.9,-0.007,-2557,-2859,,
2023-09-24 01:31:00,190434,11.88,-0.007,-2556,-2859,,
2023-09-24 01:32:00,190435,11.9,-0.007,-2557,-2859,,
2023-09-24 01:33:00,190436,11.65,-0.007,-2556,-2859,,
2023-09-24 01:34:00,190437,11.9,-0.007,-2556,-2859,,
2023-09-24 01:35:00,190438,11.9,-0.006,-2555,-2858,,
2023-09-24 01:36:00,190439,11.81,-0.006,-2555,-2858,,
2023-09-24 01:37:00,190440,11.87,-0.006,-2555,-2858,,
2023-09-24 01:38:00,190441,11.91,-0.006,-2556,-2859,,
2023-09-24 01:39:00,190442,11.9,-0.006,-2556,-2859,,
2023-09-24 01:40:00,190443,11.46,-0.006,-2555,-2858,,
2023-09-24 01:41:00,190444,10.79,-0.005,-2555,-2858,,
2023-09-24 01:42:00,190445,11.9,-0.005,-2555,-2856,,
2023-09-24 01:43:00,190446,11.89,-0.005,-2555,-2856,,
2023-09-24 01:44:00,190447,11.9,-0.005,-2556,-2857,,
2023-09-24 01:45:00,190448,11.31,-0.006,-2556,-2858,,
2023-09-24 01:46:00,190449,11.11,-0.006,-2557,-2859,,
2023-09-24 01:47:00,190450,11.9,-0.006,-2557,-2859,,
2023-09-24 01:48:00,190451,11.89,-0.006,-2557,-2859,,
2023-09-24 01:49:00,190452,11.7,-0.006,-2557,-2859,,
2023-09-24 01:50:00,190453,11.9,-0.006,-2557,-2859,,
2023-09-24 01:51:00,190454,11.9,-0.006,-2557,-2859,,
2023-09-24 01:52:00,190455,11.65,-0.007,-2557,-2860,,
2023-09-24 01:53:00,190456,11.89,-0.006,-2557,-2860,,
2023-09-24 01:54:00,190457,11.92,-0.006,-2557,-2860,,
2023-09-24 01:55:00,190458,11.91,-0.007,-2558,-2860,,
2023-09-24 01:56:00,190459,11.23,-0.007,-2557,-2860,,
2023-09-24 01:57:00,190460,10.68,-0.007,-2556,-2859,,
2023-09-24 01:58:00,190461,11.18,-0.007,-2557,-2860,,
2023-09-24 01:59:00,190462,11.9,-0.007,-2557,-2860,,
2023-09-24 02:00:00,190463,11.9,-0.007,-2557,-2861,,
2023-09-24 02:01:00,190464,11.65,-0.007,-2557,-2860,,
2023-09-24 02:02:00,190465,11.9,-0.007,-2557,-2860,,
2023-09-24 02:03:00,190466,11.9,-0.008,-2557,-2860,,
2023-09-24 02:04:00,190467,11.91,-0.008,-2557,-2860,,
2023-09-24 02:05:00,190468,11.5,-0.008,-2558,-2860,,
2023-09-24 02:06:00,190469,11.89,-0.009,-2558,-2859,,
2023-09-24 02:07:00,190470,11.9,-0.009,-2558,-2860,,
2023-09-24 02:08:00,190471,11.62,-0.009,-2557,-2860,,
2023-09-24 02:09:00,190472,11.23,-0.009,-2558,-2861,,
2023-09-24 02:10:00,190473,11.7,-0.009,-2557,-2860,,
2023-09-24 02:11:00,190474,11.89,-0.01,-2558,-2861,,
2023-09-24 02:12:00,190475,11.9,-0.01,-2558,-2862,,
2023-09-24 02:13:00,190476,11.64,-0.01,-2558,-2862,,
2023-09-24 02:14:00,190477,11.63,-0.01,-2558,-2862,,
2023-09-24 02:15:00,190478,11.89,-0.009,-2558,-2861,,
2023-09-24 02:16:00,190479,11.9,-0.009,-2558,-2861,,
2023-09-24 02:17:00,190480,11.29,-0.009,-2558,-2861,,
2023-09-24 02:18:00,190481,11.43,-0.009,-2558,-2861,,
2023-09-24 02:19:00,190482,11.9,-0.009,-2558,-2861,,
2023-09-24 02:20:00,190483,11.89,-0.009,-2557,-2861,,
2023-09-24 02:21:00,190484,11.68,-0.009,-2557,-2861,,
2023-09-24 02:22:00,190485,11.91,-0.009,-2557,-2861,,
2023-09-24 02:23:00,190486,11.9,-0.009,-2558,-2861,,
2023-09-24 02:24:00,190487,11.65,-0.009,-2558,-2862,,
2023-09-24 02:25:00,190488,11.9,-0.01,-2558,-2862,,
2023-09-24 02:26:00,190489,11.9,-0.01,-2558,-2862,,
2023-09-24 02:27:00,190490,11.89,-0.01,-2557,-2861,,
2023-09-24 02:28:00,190491,11.76,-0.01,-2556,-2859,,
2023-09-24 02:29:00,190492,11.72,-0.01,-2557,-2860,,
2023-09-24 02:30:00,190493,11.76,-0.01,-2558,-2860,,
2023-09-24 02:31:00,190494,11.74,-0.01,-2558,-2861,,
2023-09-24 02:32:00,190495,11.79,-0.01,-2559,-2862,,
2023-09-24 02:33:00,190496,11.92,-0.01,-2558,-2862,,
2023-09-24 02:34:00,190497,11.91,-0.011,-2557,-2860,,
2023-09-24 02:35:00,190498,11.38,-0.011,-2557,-2860,,
2023-09-24 02:36:00,190499,11.91,-0.012,-2557,-2860,,
2023-09-24 02:37:00,190500,11.9,-0.012,-2557,-2860,,
2023-09-24 02:38:00,190501,11.34,-0.012,-2557,-2859,,
2023-09-24 02:39:00,190502,11.77,-0.011,-2558,-2860,,
2023-09-24 02:40:00,190503,11.89,-0.011,-2559,-2861,,
2023-09-24 02:41:00,190504,11.89,-0.011,-2556,-2860,,
2023-09-24 02:42:00,190505,11.64,-0.011,-2558,-2860,,
2023-09-24 02:43:00,190506,11.73,-0.011,-2558,-2860,,
2023-09-24 02:44:00,190507,11.7,-0.011,-2558,-2861,,
2023-09-24 02:45:00,190508,11.75,-0.011,-2559,-2862,,
2023-09-24 02:46:00,190509,11.75,-0.011,-2559,-2862,,
2023-09-24 02:47:00,190510,11.77,-0.011,-2559,-2863,,
2023-09-24 02:48:00,190511,11.72,-0.012,-2559,-2863,,
2023-09-24 02:49:00,190512,11.75,-0.012,-2557,-2862,,
2023-09-24 02:50:00,190513,11.74,-0.011,-2557,-2860,,
2023-09-24 02:51:00,190514,11.71,-0.011,-2557,-2860,,
2023-09-24 02:52:00,190515,11.51,-0.011,-2557,-2860,,
2023-09-24 02:53:00,190516,11.68,-0.011,-2556,-2859,,
2023-09-24 02:54:00,190517,11.89,-0.011,-2558,-2859,,
2023-09-24 02:55:00,190518,11.9,-0.011,-2558,-2860,,
2023-09-24 02:56:00,190519,11.53,-0.01,-2558,-2861,,
2023-09-24 02:57:00,190520,11.89,-0.01,-2558,-2861,,
2023-09-24 02:58:00,190521,11.9,-0.011,-2557,-2861,,
2023-09-24 02:59:00,190522,11.89,-0.011,-2556,-2860,,
2023-09-24 03:00:00,190523,11.67,-0.011,-2556,-2859,,
2023-09-24 03:01:00,190524,11.91,-0.011,-2557,-2859,,
2023-09-24 03:02:00,190525,11.9,-0.011,-2557,-2860,,
2023-09-24 03:03:00,190526,11.65,-0.011,-2557,-2859,,
2023-09-24 03:04:00,190527,11.89,-0.012,-2557,-2859,,
2023-09-24 03:05:00,190528,11.91,-0.012,-2557,-2860,,
2023-09-24 03:06:00,190529,11.89,-0.012,-2557,-2860,,
2023-09-24 03:07:00,190530,11.57,-0.012,-2557,-2860,,
2023-09-24 03:08:00,190531,11.67,-0.012,-2557,-2860,,
2023-09-24 03:09:00,190532,11.9,-0.012,-2557,-2860,,
2023-09-24 03:10:00,190533,11.89,-0.012,-2557,-2861,,
2023-09-24 03:11:00,190534,11.65,-0.012,-2558,-2861,,
2023-09-24 03:12:00,190535,11.89,-0.011,-2558,-2861,,
2023-09-24 03:13:00,190536,11.89,-0.011,-2557,-2861,,
2023-09-24 03:14:00,190537,11.55,-0.011,-2557,-2860,,
2023-09-24 03:15:00,190538,11.26,-0.01,-2557,-2859,,
2023-09-24 03:16:00,190539,11.55,-0.011,-2556,-2859,,
2023-09-24 03:17:00,190540,11.89,-0.01,-2557,-2859,,
2023-09-24 03:18:00,190541,11.89,-0.01,-2558,-2860,,
2023-09-24 03:19:00,190542,11.64,-0.01,-2557,-2860,,
2023-09-24 03:20:00,190543,11.9,-0.01,-2558,-2861,,
2023-09-24 03:21:00,190544,11.87,-0.01,-2557,-2861,,
2023-09-24 03:22:00,190545,11.89,-0.01,-2558,-2862,,
2023-09-24 03:23:00,190546,11.64,-0.011,-2557,-2861,,
2023-09-24 03:24:00,190547,11.9,-0.011,-2557,-2860,,
2023-09-24 03:25:00,190548,11.89,-0.012,-2558,-2861,,
2023-09-24 03:26:00,190549,11.79,-0.012,-2558,-2861,,
2023-09-24 03:27:00,190550,11.9,-0.012,-2558,-2861,,
2023-09-24 03:28:00,190551,11.91,-0.012,-2558,-2861,,
2023-09-24 03:29:00,190552,11.89,-0.012,-2557,-2860,,
2023-09-24 03:30:00,190553,11.65,-0.012,-2557,-2859,,
2023-09-24 03:31:00,190554,11.86,-0.012,-2556,-2858,,
2023-09-24 03:32:00,190555,11.9,-0.012,-2555,-2858,,
2023-09-24 03:33:00,190556,11.91,-0.012,-2556,-2858,,
2023-09-24 03:34:00,190557,11.38,-0.012,-2556,-2858,,
2023-09-24 03:35:00,190558,11.91,-0.012,-2555,-2858,,
2023-09-24 03:36:00,190559,11.9,-0.013,-2557,-2858,,
2023-09-24 03:37:00,190560,11.3,-0.013,-2556,-2859,,
2023-09-24 03:38:00,190561,11.76,-0.013,-2557,-2859,,
2023-09-24 03:39:00,190562,11.92,-0.013,-2557,-2859,,
2023-09-24 03:40:00,190563,11.91,-0.013,-2557,-2860,,
2023-09-24 03:41:00,190564,11.4,-0.014,-2558,-2861,,
2023-09-24 03:42:00,190565,11.91,-0.014,-2559,-2862,,
2023-09-24 03:43:00,190566,11.9,-0.014,-2559,-2863,,
2023-09-24 03:44:00,190567,11.6,-0.014,-2560,-2863,,
2023-09-24 03:45:00,190568,11.77,-0.015,-2559,-2863,,
2023-09-24 03:46:00,190569,11.91,-0.016,-2558,-2863,,
2023-09-24 03:47:00,190570,11.91,-0.016,-2557,-2861,,
2023-09-24 03:48:00,190571,11.16,-0.015,-2558,-2861,,
2023-09-24 03:49:00,190572,11.08,-0.016,-2557,-2861,,
2023-09-24 03:50:00,190573,11.9,-0.016,-2559,-2861,,
2023-09-24 03:51:00,190574,11.89,-0.015,-2559,-2862,,
2023-09-24 03:52:00,190575,11.9,-0.015,-2558,-2862,,
2023-09-24 03:53:00,190576,11.65,-0.016,-2558,-2862,,
2023-09-24 03:54:00,190577,11.85,-0.016,-2557,-2861,,
2023-09-24 03:55:00,190578,11.9,-0.016,-2556,-2859,,
2023-09-24 03:56:00,190579,11.91,-0.016,-2555,-2858,,
2023-09-24 03:57:00,190580,10.85,-0.015,-2558,-2859,,
2023-09-24 03:58:00,190581,11.91,-0.015,-2559,-2861,,
2023-09-24 03:59:00,190582,11.9,-0.016,-2557,-2860,,
2023-09-24 04:00:00,190583,11.44,-0.016,-2558,-2861,,
2023-09-24 04:01:00,190584,11.32,-0.016,-2557,-2860,,
2023-09-24 04:02:00,190585,11.9,-0.016,-2558,-2861,,
2023-09-24 04:03:00,190586,11.87,-0.015,-2558,-2861,,
2023-09-24 04:04:00,190587,11.41,-0.015,-2557,-2861,,
2023-09-24 04:05:00,190588,11.59,-0.016,-2557,-2860,,
2023-09-24 04:06:00,190589,11.89,-0.016,-2556,-2859,,
2023-09-24 04:07:00,190590,11.9,-0.015,-2557,-2859,,
2023-09-24 04:08:00,190591,11.89,-0.015,-2557,-2859,,
2023-09-24 04:09:00,190592,11.29,-0.016,-2556,-2859,,
2023-09-24 04:10:00,190593,11.5,-0.016,-2556,-2859,,
2023-09-24 04:11:00,190594,11.9,-0.016,-2556,-2859,,
2023-09-24 04:12:00,190595,11.91,-0.016,-2555,-2858,,
2023-09-24 04:13:00,190596,11.66,-0.016,-2555,-2857,,
2023-09-24 04:14:00,190597,11.89,-0.016,-2556,-2857,,
2023-09-24 04:15:00,190598,11.89,-0.016,-2556,-2858,,
2023-09-24 04:16:00,190599,11.66,-0.015,-2557,-2859,,
2023-09-24 04:17:00,190600,11.76,-0.014,-2557,-2859,,
2023-09-24 04:18:00,190601,11.9,-0.014,-2558,-2860,,
2023-09-24 04:19:00,190602,11.89,-0.014,-2558,-2861,,
