"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
"2023-09-21 04:31:00",186294,11.73,-0.016,-2557,-2863
"2023-09-21 04:32:00",186295,11.85,-0.017,-2557,-2864
"2023-09-21 04:33:00",186296,11.9,-0.016,-2558,-2865
"2023-09-21 04:34:00",186297,11.9,-0.016,-2558,-2865
"2023-09-21 04:35:00",186298,11.37,-0.017,-2558,-2864
"2023-09-21 04:36:00",186299,11.81,-0.017,-2557,-2863
"2023-09-21 04:37:00",186300,11.89,-0.017,-2558,-2862
"2023-09-21 04:38:00",186301,11.9,-0.016,-2559,-2863
"2023-09-21 04:39:00",186302,11.9,-0.016,-2561,-2864
"2023-09-21 04:40:00",186303,11.68,-0.016,-2561,-2865
"2023-09-21 04:41:00",186304,11.89,-0.016,-2560,-2864
"2023-09-21 04:42:00",186305,11.9,-0.015,-2561,-2864
"2023-09-21 04:43:00",186306,11.77,-0.016,-2562,-2865
"2023-09-21 04:44:00",186307,11.65,-0.016,-2563,-2865
"2023-09-21 04:45:00",186308,11.9,-0.015,-2563,-2865
"2023-09-21 04:46:00",186309,11.91,-0.014,-2562,-2866
"2023-09-21 04:47:00",186310,11.67,-0.016,-2561,-2865
"2023-09-21 04:48:00",186311,11.89,-0.015,-2562,-2865
"2023-09-21 04:49:00",186312,11.9,-0.016,-2562,-2865
"2023-09-21 04:50:00",186313,11.71,-0.015,-2562,-2865
"2023-09-21 04:51:00",186314,11.84,-0.015,-2563,-2866
"2023-09-21 04:52:00",186315,11.9,-0.015,-2562,-2866
"2023-09-21 04:53:00",186316,11.89,-0.015,-2561,-2865
"2023-09-21 04:54:00",186317,11.5,-0.014,-2562,-2865
"2023-09-21 04:55:00",186318,11.89,-0.014,-2563,-2865
"2023-09-21 04:56:00",186319,11.89,-0.014,-2562,-2866
"2023-09-21 04:57:00",186320,11.65,-0.014,-2562,-2865
"2023-09-21 04:58:00",186321,11.75,-0.015,-2561,-2864
"2023-09-21 04:59:00",186322,11.9,-0.015,-2561,-2864
"2023-09-21 05:00:00",186323,11.89,-0.014,-2562,-2864
"2023-09-21 05:01:00",186324,11.7,-0.015,-2561,-2864
"2023-09-21 05:02:00",186325,11.88,-0.015,-2560,-2863
"2023-09-21 05:03:00",186326,11.89,-0.017,-2558,-2862
"2023-09-21 05:04:00",186327,11.68,-0.014,-2559,-2861
"2023-09-21 05:05:00",186328,11.91,-0.013,-2561,-2862
"2023-09-21 05:06:00",186329,11.9,-0.013,-2561,-2863
"2023-09-21 05:07:00",186330,11.91,-0.014,-2560,-2864
"2023-09-21 05:08:00",186331,11.2,-0.015,-2561,-2865
"2023-09-21 05:09:00",186332,11.9,-0.016,-2561,-2864
"2023-09-21 05:10:00",186333,11.89,-0.017,-2559,-2864
"2023-09-21 05:11:00",186334,11.63,-0.016,-2560,-2864
"2023-09-21 05:12:00",186335,11.89,-0.016,-2561,-2865
"2023-09-21 05:13:00",186336,11.9,-0.014,-2561,-2865
"2023-09-21 05:14:00",186337,11.89,-0.014,-2561,-2866
"2023-09-21 05:15:00",186338,11.64,-0.014,-2561,-2866
"2023-09-21 05:16:00",186339,11.9,-0.015,-2561,-2866
"2023-09-21 05:17:00",186340,11.89,-0.014,-2562,-2867
"2023-09-21 05:18:00",186341,11.67,-0.013,-2561,-2867
"2023-09-21 05:19:00",186342,11.89,-0.014,-2561,-2867
"2023-09-21 05:20:00",186343,11.9,-0.014,-2560,-2866
"2023-09-21 05:21:00",186344,11.86,-0.013,-2560,-2866
"2023-09-21 05:22:00",186345,11.71,-0.014,-2560,-2866
"2023-09-21 05:23:00",186346,11.9,-0.014,-2560,-2866
"2023-09-21 05:24:00",186347,11.89,-0.014,-2560,-2866
"2023-09-21 05:25:00",186348,11.53,-0.015,-2560,-2866
"2023-09-21 05:26:00",186349,11.87,-0.015,-2560,-2866
"2023-09-21 05:27:00",186350,11.9,-0.014,-2560,-2866
"2023-09-21 05:28:00",186351,11.84,-0.013,-2560,-2866
"2023-09-21 05:29:00",186352,11.73,-0.014,-2559,-2865
"2023-09-21 05:30:00",186353,11.9,-0.014,-2559,-2864
"2023-09-21 05:31:00",186354,11.89,-0.013,-2559,-2865
"2023-09-21 05:32:00",186355,11.67,-0.014,-2559,-2865
"2023-09-21 05:33:00",186356,11.9,-0.013,-2560,-2866
"2023-09-21 05:34:00",186357,11.9,-0.013,-2560,-2867
"2023-09-21 05:35:00",186358,11.82,-0.013,-2561,-2868
"2023-09-21 05:36:00",186359,11.64,-0.013,-2560,-2867
"2023-09-21 05:37:00",186360,11.9,-0.013,-2560,-2866
"2023-09-21 05:38:00",186361,11.91,-0.013,-2558,-2865
"2023-09-21 05:39:00",186362,11.68,-0.012,-2559,-2865
"2023-09-21 05:40:00",186363,11.91,-0.012,-2559,-2865
"2023-09-21 05:41:00",186364,11.9,-0.012,-2559,-2866
"2023-09-21 05:42:00",186365,11.71,-0.012,-2560,-2866
"2023-09-21 05:43:00",186366,11.88,-0.013,-2559,-2866
"2023-09-21 05:44:00",186367,11.9,-0.013,-2559,-2866
"2023-09-21 05:45:00",186368,11.89,-0.012,-2560,-2867
"2023-09-21 05:46:00",186369,11.68,-0.012,-2560,-2866
"2023-09-21 05:47:00",186370,11.89,-0.012,-2559,-2866
"2023-09-21 05:48:00",186371,11.89,-0.012,-2560,-2867
"2023-09-21 05:49:00",186372,11.64,-0.013,-2560,-2867
"2023-09-21 05:50:00",186373,11.62,-0.013,-2561,-2868
"2023-09-21 05:51:00",186374,11.9,-0.013,-2560,-2868
"2023-09-21 05:52:00",186375,11.9,-0.014,-2560,-2867
"2023-09-21 05:53:00",186376,11.8,-0.015,-2560,-2868
"2023-09-21 05:54:00",186377,11.9,-0.014,-2560,-2868
"2023-09-21 05:55:00",186378,11.89,-0.013,-2560,-2868
"2023-09-21 05:56:00",186379,11.28,-0.013,-2560,-2868
"2023-09-21 05:57:00",186380,11.81,-0.014,-2559,-2866
"2023-09-21 05:58:00",186381,11.9,-0.014,-2558,-2866
"2023-09-21 05:59:00",186382,11.89,-0.014,-2559,-2866
"2023-09-21 06:00:00",186383,11.62,-0.013,-2560,-2866
"2023-09-21 06:01:00",186384,11.9,-0.014,-2559,-2867
"2023-09-21 06:02:00",186385,11.89,-0.015,-2558,-2867
"2023-09-21 06:03:00",186386,11.69,-0.015,-2559,-2867
"2023-09-21 06:04:00",186387,11.9,-0.015,-2559,-2867
"2023-09-21 06:05:00",186388,11.9,-0.015,-2560,-2868
"2023-09-21 06:06:00",186389,11.89,-0.014,-2560,-2868
"2023-09-21 06:07:00",186390,11.25,-0.014,-2560,-2868
"2023-09-21 06:08:00",186391,11.38,-0.015,-2559,-2868
"2023-09-21 06:09:00",186392,11.89,-0.015,-2559,-2867
"2023-09-21 06:10:00",186393,11.9,-0.014,-2560,-2867
"2023-09-21 06:11:00",186394,11.89,-0.013,-2559,-2867
"2023-09-21 06:12:00",186395,11.65,-0.013,-2558,-2866
"2023-09-21 06:13:00",186396,11.9,-0.013,-2559,-2866
"2023-09-21 06:14:00",186397,11.9,-0.013,-2559,-2867
